size,price,diameter,discount20,discount40
2,$3.48,0.56,$2.78,$2.08
3.5,$4.04,0.73,$3.24,$2.43
5,$4.04,0.73,$3.24,$2.43
10,$4.86,0.94,$3.88,$2.90
20,$5.20,1.28,$4.17,$3.12
"20 (Dristan Style)",$9.00,1.28,$7.20,$5.40
25,$5.49,1.49,$4.40,$3.30
26,$5.49,1.51,$4.40,$3.30
30,$6.08,1.68,$4.86,$3.64
31,$6.08,1.69,$4.86,$3.64
40,$6.95,1.99,$5.55,$4.17
50,$8.67,2.35,$6.95,$5.20
60,$8.67,2.69,$6.95,$5.20
61,$8.67,2.72,$6.95,$5.20
70,$9.26,3.11,$7.41,$5.55
75,$9.84,3.76,$7.87,$5.90
80,$9.84,3.81,$7.87,$5.90
90,$10.99,4.29,$8.80,$6.59
100,$11.74,5.57,$9.40,$7.05
110,$12.74,6.14,$10.18,$7.64
<b>Capper Disc:</b>,,,, 
"4&quot; x 2&quot; x 1/2&quot;",$11.58,40A to 90A,$9.26,$6.95
